country,lat
Albania,41.2
Austria,47.5
Belgium,50.5
Bosnia and Herzegovina,43.9
Bulgaria,42.7
Croatia,45.1
Czech Republic,49.8
Denmark,56.3
Estonia,58.6
Finland,61.9
France,46.6
Germany,51.2
Greece,39.1
Hungary,47.2
Iceland,65.0
Ireland,53.1
Italy,41.9
Kosovo,42.6
Latvia,56.9
Lithuania,55.2
Macedonia,41.6
Moldova,47.4
Montenegro,42.7
Netherlands,52.1
Norway,60.5
Poland,51.9
Portugal,39.4
Republic of Serbia,44.0
Romania,45.9
Slovakia,48.7
Slovenia,46.2
Spain,40.5
Sweden,60.1
Switzerland,46.8
United Kingdom,55.4
